lead_id,lead_status,premium,age,gender,smoker,current_insurance,device_type,keyword,match_type,postcode,cover_for,verification_status
90809057,Contacted,0.0,31,Female,Yes,no,Desktop,private health insurance belfast,Exact,Bt13,Self,
35622726,Contacted,0.0,35,Female,No,no,Smartphone,private medical insurance,Phrase,LU7,Self,
29156003,Contacted,0.0,46,Male,No,yes private,Smartphone,private health insurance,Broad,E14,Self,
26436791,No Contact,0.0,53,Female,No,no,Desktop,bupa health insurance,Exact,W2,Self + Partner,
80270348,Contacted,0.0,35,Male,No,no,Smartphone,private healthcare prices,Exact,BH23,Self,
55351276,Contacted,0.0,55,Male,No,no,Desktop,private medical insurance,Broad,CV10,Self + Family,
64990711,Contacted,0.0,37,Male,No,yes company,Desktop,bupa health care insurance,Exact,OX28,Self + Family,
61547276,Contacted,0.0,72,Male,No,no,Smartphone,private heathcare,Exact,S18,Self + Partner,
72366081,Contacted,0.0,62,Male,No,no,Smartphone,bupa private health care,Exact,GL4,Self + Partner,
15965559,Quoted,0.0,40,Female,No,yes private,Smartphone,private medical aid,Exact,Bt20,Self,
32932148,Contacted,0.0,51,Female,No,no,Smartphone,family health insurance,Broad,B90,Self + Family,
13293574,Contacted,0.0,32,Male,No,no,Smartphone,private healthcare insurance,Exact,PO39,Self + Partner,
62169870,Contacted,0.0,39,Female,Yes,no,Smartphone,bupa health insurance,Exact,BB5,Self + Family,
85531921,Contacted,0.0,85,Male,No,yes private,Smartphone,health insurance cover,Broad,Ct10,Self,
81228547,Contacted,0.0,57,Female,No,no,Smartphone,private health insurance,Exact,L21,Self,
39478702,Contacted,0.0,50,Female,No,no,Smartphone,private healthcare,Phrase,ME2,Self,
69128906,Invalid,0.0,64,Female,No,yes private,Smartphone,best private health insurance for pre existing con,Exact,Nr32,Self,
44264404,Contacted,0.0,44,Female,No,no,Smartphone,health insurance quotes,Broad,Ne34,Self + Partner,
93200949,Contacted,0.0,63,Female,No,no,Smartphone,health insurance,Broad,NR13,Self,
80068581,Contacted,0.0,29,Female,No,no,Smartphone,health insurance pre existing conditions,Exact,Sn14,Self,
69111171,Contacted,0.0,68,Female,No,no,Smartphone,health insurance for people with pre existing cond,Exact,Po12,Self,
33988698,Contacted,0.0,30,Male,No,no,Smartphone,health insurance,Exact,LS25,Self + Partner,
53302865,Contacted,0.0,25,Female,No,no,Smartphone,bupa private health,Exact,M19,Self,
29665296,Contacted,0.0,52,Male,No,no,Smartphone,private healthcare,Phrase,ME1,Self + Partner,
67907994,Contacted,0.0,27,Female,No,no,Desktop,bupa private health,Exact,RH16,Self,verified
15405780,Contacted,0.0,46,Female,No,no,Smartphone,private healthcare,Exact,NN4,Self,
67699333,Contacted,0.0,62,Female,No,no,Smartphone,private healthcare,Exact,ME14,Self,
61189052,Invalid,0.0,66,Male,No,no,Smartphone,best health insurance,Broad,L6,Self,
12843741,Contacted,0.0,44,Male,No,no,Smartphone,private medical insurance pre existing conditions,Exact,Ka7,Self,
76325717,Contacted,0.0,42,Male,No,no,Desktop,healthcare insurance,Exact,DA1,Self,
77543593,Contacted,0.0,45,Male,Yes,no,Tablet,best private health insurance,Exact,CR8,Self + Family,verified
12354151,Contacted,0.0,53,Male,No,yes private,Desktop,medical insurance uk,Broad,Sy1,Self,
13695507,Contacted,0.0,72,Female,No,no,Smartphone,health insurance quotes,Exact,La1,Self + Partner,
66771068,Sold,497.16,51,Female,No,no,Smartphone,bupa health insurance,Exact,G61,Self,
28599874,No Contact,0.0,52,Male,No,no,Smartphone,private health insurance,Broad,FY1,Self + Family,
23789637,Contacted,0.0,37,Female,No,no,Smartphone,private healthcare,Phrase,IG10,Self + Family,
73427799,Contacted,0.0,48,Male,No,no,Smartphone,bupa health insurance,Exact,ME17,Self,
23136569,Contacted,0.0,54,Female,No,yes company,Smartphone,private health insurance quote,Exact,N3,Self + Family,
44082826,Sold,1102.68,35,Male,No,no,Smartphone,private medical insurance,Phrase,DA11,Self + Partner,
80392325,Contacted,0.0,58,Female,No,no,Smartphone,private medical insurance,Broad,So21,Self,
31150559,Contacted,0.0,33,Female,No,no,Smartphone,how much is private health care uk,Exact,BD17,Self,verified
46859239,Contacted,0.0,47,Male,No,no,Smartphone,bupa health insurance,Exact,DA1,Self + Partner,
71844186,Contacted,0.0,37,Female,No,no,Smartphone,health insurance uk,Exact,L14,Self,
39290895,Contacted,0.0,26,Female,No,no,Smartphone,private medical insurance,Phrase,GU33,Self,
56788530,Contacted,0.0,53,Male,No,no,Desktop,private medical insurance,Phrase,NE23,Self + Partner,
39713972,Contacted,0.0,33,Female,No,yes private,Smartphone,private healthcare,Phrase,TF1,Self,
20922958,No Contact,0.0,71,Male,No,yes private,Tablet,health insurance uk,Exact,DL7,Self,
88015414,Contacted,0.0,26,Female,No,no,Smartphone,private healthcare,Exact,TS5,Self,
75691859,Contacted,0.0,52,Female,No,no,Smartphone,medical shield insurance,Exact,L8,Self,
70498936,Contacted,0.0,78,Female,No,no,Tablet,private medical insurance,Broad,Rg14,Self + Partner,
47496012,Contacted,0.0,54,Male,No,no,Smartphone,private healthcare,Exact,BD6,Self + Partner,verified
29380896,Contacted,0.0,72,Female,No,yes private,Smartphone,private medical insurance policy,Broad,Ct1,Self,
62758386,Contacted,0.0,72,Male,No,no,Tablet,health insurance cover,Broad,Ca2,Self + Partner,
79349992,Contacted,0.0,36,Female,No,no,Smartphone,private medical insurance,Phrase,CB4,Self,
10834569,Contacted,0.0,33,Female,No,no,Desktop,bupa health insurance,Exact,EX2,Self,verified
26709158,Quoted,0.0,29,Female,No,no,Desktop,health insurance uk,Exact,LN11,Self,
18139788,Sold,2353.2,64,Male,No,no,Smartphone,medical insurance,Exact,NG19,Self + Partner,verified
95193625,Contacted,0.0,67,Female,No,yes private,Smartphone,best health insurance for pre existing conditions,Exact,Rg22,Self,
15224107,Sold,357.48,23,Female,No,no,Smartphone,private medical insurance,Phrase,CA14,Self,
58907999,Contacted,0.0,39,Female,No,no,Smartphone,private health insurance uk,Exact,CT2,Self,verified
34055481,Contacted,0.0,46,Female,No,no,Smartphone,bupa health insurance,Exact,Ll18,Self + Family,
55704783,Contacted,0.0,76,Female,No,no,Smartphone,health insurance quotes,Broad,Cw8,Self,
16789377,Contacted,0.0,55,Male,No,no,Smartphone,private medical insurance uk,Exact,BL3,Self + Partner,
23042992,Contacted,0.0,61,Male,No,no,Smartphone,medical insurance uk,Exact,Sg8,Self,
47657915,Contacted,0.0,36,Female,No,yes private,Smartphone,health insurance uk,Phrase,NG15,Self,verified
94823106,Quoted,0.0,65,Female,No,no,Smartphone,best health insurance for pre existing conditions,Exact,Kt13,Self,
16245836,Contacted,0.0,36,Female,No,no,Smartphone,private healthcare,Phrase,SR5,Self + Family,
17499609,Contacted,0.0,79,Female,No,no,Smartphone,compare medical insurance,Broad,Bt35,Self + Partner,
90968553,Contacted,0.0,66,Male,No,no,Smartphone,best health insurance,Broad,Hr6,Self,
84671413,Contacted,0.0,66,Female,No,no,Smartphone,best health insurance uk,Exact,E7,Self,verified
28639341,Contacted,0.0,71,Female,No,no,Desktop,private healthcare,Exact,B37,Self,
28101660,Contacted,0.0,45,Female,No,no,Smartphone,private healthcare,Exact,HU17,Self + Family,
32026813,Contacted,0.0,48,Female,No,no,Smartphone,medical insurance uk,Broad,DN14,Self,
29534206,Contacted,0.0,41,Male,No,no,Smartphone,bupa private health,Exact,S26,Self,verified
15864537,Contacted,0.0,76,Male,No,no,Smartphone,medical insurance uk,Broad,Tr12,Self + Partner,
77351752,Contacted,0.0,23,Female,No,no,Smartphone,private medical insurance uk,Exact,ST7,Self,
89319827,Contacted,0.0,42,Male,Yes,no,Smartphone,best health insurance for pre existing conditions,Exact,Ol14,Self + Partner,
49394371,Contacted,0.0,36,Male,No,no,Smartphone,private healthcare,Exact,SR2,Self,verified
68136393,Contacted,0.0,78,Female,No,no,Desktop,best medical insurance,Broad,Ng8,Self + Partner,
97374057,No Contact,0.0,37,Male,No,no,Smartphone,private medical insurance,Phrase,WV10,Self + Family,verified
29506294,Contacted,0.0,60,Male,No,no,Smartphone,bupa health insurance,Exact,WS10,Self + Family,verified
64158208,Contacted,0.0,44,Female,No,no,Desktop,private health insurance,Exact,GL54,Self,
69150895,Contacted,0.0,42,Male,No,yes private,Smartphone,private health care plans,Exact,SG1,Self + Partner,
35562965,Contacted,0.0,37,Male,No,no,Smartphone,bupa health insurance,Exact,W3,Self + Family,
32312325,Contacted,0.0,35,Female,No,no,Smartphone,private healthcare,Phrase,SY2,Self,
10784399,Sold,1586.88,63,Female,No,yes private,Smartphone,private health insurance quotes,Exact,Dl7,Self + Partner,
55867932,Contacted,0.0,72,Male,No,yes private,Desktop,healthcare insurance,Exact,SN4,Self + Partner,
62711336,Contacted,0.0,43,Female,No,no,Smartphone,private health care with pre existing conditions,Exact,Pe26,Self,
31432432,Contacted,0.0,69,Male,No,no,Desktop,best health insurance,Broad,Cr7,Self + Partner,
20193036,Contacted,0.0,76,Female,No,no,Smartphone,health insurance cover,Broad,Po21,Self,
42211663,Sold,1782.84,61,Female,No,no,Desktop,private healthcare,Phrase,PR7,Self,
24127295,Contacted,0.0,39,Male,No,no,Smartphone,private healthcare,Exact,WA1,Self,verified
27374572,Sold,1359.96,41,Male,No,yes private,Smartphone,bupa health insurance,Exact,PE8,Self + Family,verified
99664346,Contacted,0.0,53,Female,No,no,Smartphone,health insurance plans,Phrase,HU8,Self,
32762556,Contacted,0.0,38,Male,No,yes private,Smartphone,private medical insurance policy,Broad,Cv21,Self,
68194980,Contacted,0.0,69,Female,No,yes company,Tablet,private medical insurance,Phrase,EN5,Self + Family,verified
69667305,Contacted,0.0,46,Female,No,no,Smartphone,private medical insurance,Phrase,M27,Self + Family,
54220169,Contacted,0.0,28,Male,No,no,Smartphone,private healthcare,Exact,L21,Self,
71977673,Contacted,0.0,50,Female,No,no,Smartphone,medical insurance pre existing conditions,Exact,Tn12,Self,
10163861,Contacted,0.0,38,Female,No,no,Smartphone,health insurance uk,Exact,IG6,Self,
92038799,Contacted,0.0,51,Male,No,no,Smartphone,bupa health insurance,Exact,WF12,Self + Partner,
19663589,Contacted,0.0,58,Female,Yes,no,Smartphone,private healthcare,Exact,B38,Self + Partner,
17086499,Contacted,0.0,27,Male,No,no,Smartphone,private healthcare,Exact,SK16,Self,verified
72115240,Contacted,0.0,52,Female,No,no,Smartphone,private healthcare,Exact,WN7,Self,verified
29605948,Contacted,0.0,48,Female,No,no,Smartphone,private healthcare,Phrase,S11,Self,verified
74698826,Contacted,0.0,33,Male,No,yes private,Desktop,health insurance pre existing conditions,Exact,Np16,Self,
12400227,Contacted,0.0,33,Female,No,no,Smartphone,bupa private health,Exact,BT22,Self + Partner,
85295713,Contacted,0.0,46,Male,No,no,Smartphone,private healthcare,Exact,SE20,Self,
20733886,Contacted,0.0,85,Male,No,no,Smartphone,private medical insurance,Phrase,Sn16,Self,
90691309,Contacted,0.0,21,Female,Yes,no,Smartphone,private health insurance,Exact,S73,Self,
38844974,Quoted,0.0,47,Male,No,no,Desktop,bupa private health,Exact,WD17,Self + Partner,
21976080,Contacted,0.0,31,Female,Yes,no,Smartphone,bupa private health,Exact,CT1,Self,verified
88190740,Contacted,0.0,45,Female,No,no,Desktop,private health insurance uk,Exact,L26,Self,
47862620,Contacted,0.0,40,Male,No,no,Smartphone,private healthcare,Exact,NG16,Self + Partner,
38229368,Contacted,0.0,38,Female,No,no,Smartphone,health insurance uk pre existing conditions,Exact,B10,Self,
61203309,Contacted,0.0,57,Male,Yes,no,Smartphone,private medical insurance uk,Exact,BL3,Self,
91236843,Contacted,0.0,28,Male,No,no,Smartphone,private medical insurance uk,Exact,RH16,Self + Partner,
38694912,Contacted,0.0,61,Female,No,yes company,Smartphone,insurance with medical conditions,Exact,Bl4,Self + Partner,
25368339,Invalid,0.0,64,Male,No,yes private,Smartphone,best health insurance,Broad,Rm16,Self,
95143638,Contacted,0.0,55,Male,No,no,Smartphone,bupa private health,Exact,BL1,Self + Partner,
33331942,Contacted,0.0,65,Female,Yes,no,Desktop,best health insurance,Broad,Bn20,Self,
81175380,No Contact,0.0,40,Female,No,no,Smartphone,best medical insurance,Broad,Cv6,Self,
38752108,Contacted,0.0,73,Female,No,no,Smartphone,medical insurance uk,Broad,TS22,Self,
44282432,Contacted,0.0,68,Female,No,yes private,Desktop,health insurance to cover pre existing conditions,,Ph1,Self + Partner,
56676120,Contacted,0.0,75,Male,No,yes private,Smartphone,saga health insurance,Exact,PO9,Self + Partner,verified
60674407,Contacted,0.0,41,Male,No,no,Smartphone,health insurance uk,Exact,OL4,Self + Partner,
34167392,Quoted,0.0,30,Male,No,no,Smartphone,bupa private health,Exact,SE17,Self,
65150067,Contacted,0.0,45,Female,No,no,Smartphone,private medical insurance uk,Exact,DE22,Self + Family,
78484277,Contacted,0.0,23,Male,No,no,Smartphone,private medical insurance,Broad,Pe30,Self,
62934582,Contacted,0.0,80,Male,No,no,Smartphone,health insurance cover,Broad,Se1,Self,
35177775,Contacted,0.0,64,Female,No,no,Desktop,best health insurance,Broad,Rg42,Self,
36468504,Contacted,0.0,78,Female,No,no,Tablet,private medical insurance,Broad,Yo23,Self,
60097355,Contacted,0.0,42,Female,No,no,Smartphone,private healthcare,Exact,SE18,Self,verified
55719337,Contacted,0.0,36,Female,No,yes private,Smartphone,private medical insurance,Phrase,Rg1,Self,
82810063,Invalid,0.0,55,Female,No,no,Desktop,private medical insurance,Broad,IP32,Self + Partner,
74291555,Contacted,0.0,32,Female,Yes,no,Smartphone,private health insurance for pre existing conditio,Exact,B31,Self,
94392836,Contacted,0.0,69,Female,No,yes private,Desktop,best medical insurance,Broad,Ip6,Self,
25743116,No Contact,0.0,49,Male,No,no,Smartphone,health insurance quotes,Exact,Al4,Self,
